tweet_id,date_time,favorites,retweets,user_followers,user_favourites
680583894916304897,2015-12-26 03:00:19,3926,1509,3768906,120161
680497766108381184,2015-12-25 21:18:05,4624,2151,3768906,120161
680494726643068929,2015-12-25 21:06:00,1868,542,3768906,120161
680473011644985345,2015-12-25 19:39:43,2772,839,3768906,120161
680440374763077632,2015-12-25 17:30:01,1578,559,3768906,120161
680221482581123072,2015-12-25 03:00:14,1590,329,3768906,120161
680206703334408192,2015-12-25 02:01:30,3097,1315,3768906,120161
680191257256136705,2015-12-25 01:00:07,2342,573,3768906,120161
680176173301628928,2015-12-25 00:00:11,4252,1753,3768907,120161
680161097740095489,2015-12-24 23:00:17,2527,823,3768907,120161
680145970311643136,2015-12-24 22:00:10,3942,1965,3768907,120161
